Diarienummer;Sîkbegrepp
M-1989-543;SIGMA AB LINGVIDE 4:4 HAVDHE
M-1989-546;KROKSTéDE 1:192 TOFTA
M-1989-547;BOTMUNDS 1:29 VéSTERHEJDE
M-1989-548;VINOR 1:37 FèRô
M-1989-549;BURGE 1:85 LUMMELUNDA
M-1989-553;DRAKARVE 1:74 NéS
M-1989-554;REMBS 1:26 VAMLINGBO
M-1989-555;MAGNUSE 1:19 LEVIDE
M-1989-556;MAFRIDS 1:124 VéSTERGARN
M-1989-557;BURGE 1:104 LUMMELUNDA
M-1989-558;EKESE 1:21 ARDRE
M-1989-559;VIBBLE 1:219 VéSTERHEJDE
M-1989-560;KAUPUNGS 1:5 ôSTERGARN
M-1989-561;GERETE 3:1 FOLLINGBO
M-1989-563;STENSTUGU 1:4 BRO
M-1989-564;SANDARVE 1:8 FARDHEM
M-1989-565;STENSTUGU 2:1 VAMLINGBO
M-1989-566;BOTARVE 4:1 ôJA
M-1989-567;GLéVES LILLA 1:19 BURS
M-1989-568;FALHAMMARS 1:44 ôSTERGARN
M-1989-569;HALLGèRDS 1:23 FRôJEL
M-1989-570;MATTISSE 1:4 NéR
M-1989-571;KROKS 1:86 TOFTA
M-1989-572;KROKS 1:117 TOFTA
M-1989-573;GèSEMORA STORA 1:51 FèRô
M-1989-574;KLINTEGèRDA LILLA 1:45 VéSKIN
M-1989-575;RINGVIDE 1:18 FèRô
M-1989-578;VERKEGARDS 1:6 DEL AV FèRô
M-1989-579;SIMUNDS 1:55 1:56 1:57 1:58
M-1989-580;OLARVE 1:21 HANGVAR
M-1989-581;TINGSTOMT 1:17 FOLLINGBO
M-1989-582;GANNOR 1:18 LAU
M-1989-583;NYGèRDS 1:297 VéSTERHEJDE
M-1989-584;KROKS 1:96 TOFTA
M-1989-585;NYGèRDS 1:130 VéSTERHEJDE
M-1989-586;NYGèRDS 1:221. 1:222 VéSTERHE
M-1989-587;SIMUNDS 1:9 OCH 1:15 FèRô
M-1989-589;UTôJA 3:1 FLERINGE
M-1989-590;TJELDER 1:34 BOGE
M-1989-591;ALVANS 1:5 RUTE
M-1989-592;VERKEGèRDS 1:11 DEL AV FèRô
M-1989-593;RUTE 1:2 RUTE
M-1989-594;GôSTAVS 3:1 FRôJEL
M-1989-595;BOTVIDE 1:73 SANDA
M-1989-596;BOTVIDE 1:73 SANDA
M-1989-597;VARBOS 1:72 LILLA SANDA
M-1989-598;VARBOS 1:72 LILLA SANDA
M-1989-599;BERTELS 1:10 HABLINGBO
M-1989-600;OLLAJVS 1:7 DEL AV LEVIDE
M-1989-601;DOMERARVE 1:30 ôJA
M-1989-602;TIPPSARVE 1:13 HEJDE
M-1989-603;GISLE 1:54 BURGSVIK
M-1989-610;KVIE 1:18 HANGVAR
M-1989-611;BROA 1:79 FèRô
M-1989-612;KéLLGèRDS 1:44 STENKUMLA
M-1989-613;KVARNA 1:30 ESKELHEM
M-1989-614;BOTARVE 4:1 ôJA
M-1989-615;FALHAMMARS 1:14 ôSTERGARN
M-1989-616;éNGMANS 1:24 GAMMELGARN
M-1989-619;NISSE 1:3 HABLINGBO
M-1989-621;ROMMUNDS 1:20 HAVDHEM
M-1989-623;KLINTE 1:67 GAMMELGARN
M-1989-624;KYRKEBY 1:89 ETELHEM
M-1989-626;PIZZERIA HAGGET VINOR 1:37 F
