Diarienummer;Sökbegrepp;Fastighet;Fnr
M-1990-2132;BJÄRGES 1:7 (DEL AV) LYE;;
M-1991-1568;BJÄRGES 1:7 1:40 LYE;;
M-1993-272;BJÄRGES I VÄNGE;;
M-1992-36;BJÄRGES L:A 1:17 VALLSTENA;;
M-1993-891;BJÄRGES SAMHÄLLE VÄNGE;;
M-1993-1245;BJÄRGES VÄNGE;;
M-1995-465;BJÄRGES VÄNGE;;
M-1990-2429;BJÄRS 1:18 (DEL AV) TOFTA;;
M-1994-1470;BJÄRS 1:18 VÄSTERHEJDE BN 940576;;
M-1993-1673;BJÄRS 1:18 VÄSTERHEJDE BN/930752;;
M-1994-1286;BJÄRS 1:18 VÄSTERHEJDE BN:940515;;
M-1994-1257;BJÄRS 1:2 ST LÄRBRO BN:94.0445;;
M-1993-1710;BJÄRS 1:3 VÄSTERHEJDE/ BN 930759;;
M-1995-614;BJÄRS 1:4 L:A KVIE 1:6 M FL STENKYRKA;;
M-1990-1196;BJÄRS 2.1 (DEL AV) VÄSTERHEJD;;
M-1989-2274;BJÄRS 2:1 (DEL AV) VÄSTERHEJD;;
M-1990-1266;BJÄRS 2:1 (DEL AV) VÄSTERHEJD;;
M-1991-1284;BJÄRS 2:1 (DEL AV) VÄSTERHEJDE;;
M-1989-2414;BJÄRS 2:1 VÄSTERHEJDE (DEL AV;;
M-1990-851;BJÄRS 2:1 VÄSTERHEJDE (DEL AV;;
M-1994-1619;BJÄRS 4:7 L:A LÄRBRO;;
M-1993-1225;BJÄRS L:A 1:2 LÄRBRO;;
M-1993-46;BJÄRS L:A 1:4 STENKYRKA;;
M-1994-951;BJÄRS L:A 1:4 STENKYRKA;;
M-1994-2455;BJÄRS L:A 4:4 LÄRBRO;;
M-1989-698;BJÄRS L:A 4:6 LÄRBRO;;
M-1989-1153;BJÄRS L:A 4:6 LÄRBRO;;
M-1991-955;BJÄRS L:A 4:7 LÄRBRO;;
M-1992-1318;BJÄRS L:A 4:7 LÄRBRO;;
M-1995-1446;BJÄRS L:A 4:9 LÄRBRO;;
M-1995-619;BJÄRS L:A STENKYRKA;;
M-1995-1794;BJÄRS LÄRBRO;;
M-1990-2269;BJÄRS STORA 1:38 1:39 STENKY;;
M-1990-2394;BJÄRS STORA 1:38 1:39 STENKY;;
M-1992-1772;BJÖRKE;;
M-1994-904;BJÖRKE;;
M-1995-220;BJÖRKE;;
M-1996-1826;BJÖRKE;;
M-1997-1683;BJÖRKE;;
M-1994-574;BJÖRKE 1:16 NORRLANDA/BN 940245;;
M-1989-2323;BJÖRKE L:A 2:1 ATLINGBO;;
M-1995-454;BJÖRKE L:A 2:1 ATLINGBO;;
M-1995-344;BJÖRKE L:A 2:1 ATLINGBO/BN 950102;;
M-1994-648;BJÖRKE NORRLANDA;;
M-1999-1992;BJÖRKE SMIDGÅRDE 1:19 -2;;
M-1995-1355;BJÖRKEBOS FOLLINGBO;;
M-1990-199;BJÖRKHAGA CAMPING;;
M-1990-2364;BJÖRKHAGE 1:1 (DEL AV) DALHEM;;
M-1990-2335;BJÖRKHAGE 1:8 (DEL AV 1:1) DA;;
M-1996-195;BJÖRKLUNDA;;
M-1995-285;BJÖRKLUNDA 1:2 ÖJA/BN 950069;;
M-1993-1191;BJÖRKLUNDA 1:2 ÖJA/BN DNR 930525;;
M-1992-278;BJÖRKOME 1:13 & 1:37 VÄSKINDE;;
M-1992-191;BJÖRKOME 1:13 1:37 VÄSKINDE;;
M-1991-48;BJÖRNUNGS LOKRUME;;
M-1994-2574;BK ROSEN;;
M-1996-1911;BLUE SEVEN;;
M-1991-39;BLUE SEVEN VISBY;;
M-1989-265;BLYHAGEL;;
M-1989-2659;BLÅELDEN 6 7 O 11 VISBY;;
M-1993-570;BLÅKLINTEN 3 OCH 4 VISBY;;
M-1995-231;BLÅKLINTEN 3 VISBY BN:950070;;
M-1994-2163;BLÅKLINTEN 5 VISBY/BN 940853;;
M-1991-1204;BLÅKLOCKAN 1 O 2 VISBY;;
M-1993-233;BLÅKLOCKAN 1 OCH 2 VISBY;;
M-1998-663;BLÅKRÅKAN SERVICEHUS;;
M-1990-1743;BLÄSE 1:47 1:32 LÄRBRO;;
M-1989-399;BLÄSEHAMN FLERINGE;;
M-1995-2125;BLÄSNUNGS 1:85 /LKB 473;;
M-1993-1783;BLÄSNUNGS L:A 1:36 VÄSKINDE;;
M-1993-1876;BLÄSNUNGS L:A 1:36 VÄSKINDE;;
M-1991-1705;BLÄSNUNGS L:A 1:37 VÄSKINDE;;
M-1995-358;BLÄSNUNGS L:A 1:37 VÄSKINDE;;
M-1991-155;BLÄSNUNGS ST 1:140 1:141 VÄS;;
